slug,name,originalLocation,founded,headquarters,parentCompany,Locations,areasServed,type,service
bonchon,BonChon,"Busan, South Korea",2002,"Dallas, Texas",,115,Nationwide,Asian,Fast Food
cupbop,Cupbop,"Salt Lake County, Utah",2013,"Salt Lake City, Utah",,38,"Mountain states, Oklahoma",Asian,Fast Food
ll-hawaiian-barbecue,L&L Hawaiian Barbecue,"Honolulu, Hawaii",1976,"Honolulu, Hawaii",,209,"Western states, Hawaii, Alaska, Texas, New York, Florida, North Carolina, Guam",Asian,Fast Food
manchu-wok,Manchu Wok,"Peterborough, Ontario, Canada",1980,"Markham, Ontario, Canada",MTY Food Group,14,Nationwide,Asian,Fast Food
noodles-company,Noodles & Company,"Denver, Colorado",1995,"Broomfield, Colorado",,448,Nationwide,Asian,Fast Food
panda-express,Panda Express,"Glendale, California",1983,"Rosemead, California",Panda Restaurant Group,2316,Nationwide,Asian,Fast Food
pei-wei,Pei Wei,"Scottsdale, Arizona",2000,"Irving, Texas",PWD Acquisition LLC,119,"South, West, Mid-Atlantic, Upper Midwest",Asian,Fast Food
pho-hoa,Pho Hoa,"San Jose, California",1983,"Sacramento, California",,23,"West, Southeast, Upper Midwest, Massachusetts",Asian,Fast Food
pick-up-stix,Pick Up Stix,"Rancho Santa Margarita, California",1989,"Laguna Hills, California",,57,Southern California,Asian,Fast Food
sarku-japan,Sarku Japan,"Boston, Massachusetts",1987,"Markham, Ontario, Canada",,203,Nationwide,Asian,Fast Food
yoshinoya,Yoshinoya,"Tokyo, Japan",1899,"Kitya, Tokyo, Japan",,103,California,Asian,Fast Food
au-bon-pain,Au Bon Pain,"Boston, Massachusetts",1976,"Richardson, Texas",AMPEX Brands,121,Nationwide,Baked Goods,Fast Food
auntie-annes,Auntie Anne's,"Downingtown, Pennsylvania",1988,"Sandy Springs, Georgia",Focus Brands,1133,Nationwide,Baked Goods,Fast Food
brueggers-bagels,Bruegger's Bagels,"Troy, New York",1983,"Denver, Colorado",JAB Holding Company,190,"East, Southwest",Baked Goods,Fast Food
cinnabon,Cinnabon,"Federal Way, Washington",1985,"Sandy Springs, Georgia",Focus Brands,939,Nationwide,Baked Goods,Fast Food
daylight-donuts,Daylight Donuts,"Tulsa, Oklahoma",1954,"Tulsa, Oklahoma",,354,Midwest,Baked Goods,Fast Food
duck-donuts,Duck Donuts,"Duck, North Carolina",2006,"Hampden Township, Pennsylvania",,109,Nationwide,Baked Goods,Fast Food
einstein-bros-bagels,Einstein Bros. Bagels,"Golden, Colorado",1995,"Lakewood, Colorado",JAB Holding Company,690,Nationwide,Baked Goods,Fast Food
great-american-cookies,Great American Cookies,"Dunwoody, Georgia",1977,"Atlanta, Georgia",FAT Brands,371,East,Baked Goods,Fast Food
great-harvest-bakery-cafe,Great Harvest Bakery Cafe,"Great Falls, Montana",1976,"Dillon, Montana",,176,Nationwide,Baked Goods,Fast Food
honey-dew-donuts,Honey Dew Donuts,"Mansfield, Massachusetts",1973,"Plainville, Massachusetts",,125,New England,Baked Goods,Fast Food
insomnia-cookies,Insomnia Cookies,"Philadelphia, Pennsylvania",2003,"Philadelphia, Pennsylvania",Krispy Kreme,210,Nationwide,Baked Goods,Fast Food
krispy-kreme,Krispy Kreme,"Winston-Salem, North Carolina",1937,"Charlotte, North Carolina",JAB Holding Company,373,Nationwide,Baked Goods,Fast Food
la-madeleine,La Madeleine,"Dallas, Texas",1983,"Dallas, Texas",Groupe Le Duff,86,"Southeast, Mid-Atlantic, Midwest",Baked Goods,Fast Food
nestle-toll-house-cafe,Nestlé Toll House Café,"Frisco, Texas",2000,"Richardson, Texas",FAT Brands,82,Nationwide,Baked Goods,Fast Food
le-pain-quotidien,Le Pain Quotidien,"Brussels, Belgium",1990,"New York, New York",,260,"Mid-Atlantic, Florida, Illinois, California",Baked Goods,Fast Food
mrs-fields,Mrs. Fields,"Palo Alto, California",1977,"Broomfield, Colorado",Famous Brands International,300,Nationwide,Baked Goods,Fast Food
pretzelmaker,Pretzelmaker,Pennsylvania,1991,"Atlanta, Georgia",FAT Brands,280,Nationwide,Baked Goods,Fast Food
shipley-do-nuts,Shipley Do-Nuts,"Houston, Texas",1936,"Houston, Texas",Peak Rock Capital,335,"Southern states, Colorado",Baked Goods,Fast Food
wetzels-pretzels,Wetzel's Pretzels,"Redondo Beach, California",1994,"Pasadena, California",CenterOak Partners LLC,350,Nationwide,Baked Goods,Fast Food
winchells-donuts,Winchell's Donuts,"Temple City, California",1948,"City of Industry, California",Yum-Yum Donuts,170,"West, Midwest",Baked Goods,Fast Food
yum-yum-donuts,Yum-Yum Donuts,"Los Angeles, California",1971,"City of Industry, California",,71,California,Baked Goods,Fast Food
gold-star-chili,Gold Star Chili,"Cincinnati, Ohio",1965,"Cincinnati, Ohio",,85,Great Lakes,Beef,Fast Food
shanes-rib-shack,Shane's Rib Shack,"McDonough, Georgia",2002,"Atlanta, Georgia",,74,Southeast,Barbeque,Fast Food
skyline-chili,Skyline Chili,"Cincinnati, Ohio",1949,"Fairfield, Ohio",,160,"Great Lakes, Florida",Beef,Fast Food
argo-tea,Argo Tea,"Chicago, Illinois",2003,"Chicago, Illinois",,41,"East, Upper Midwest",Beverages,Fast Food
biggby-coffee,Biggby Coffee,"East Lansing, Michigan",1995,"Lansing, Michigan",,265,"Southeast, Midwest",Beverages,Fast Food
caribou-coffee,Caribou Coffee,"Edina, Minnesota",1992,"Brooklyn Center, Minnesota",,460,Midwest,Beverages,Fast Food
coffee-bean-tea-leaf,The Coffee Bean & Tea Leaf,"Los Angeles, California",1963,"Los Angeles, California",,1000,California,Beverages,Fast Food
coffee-beanery,Coffee Beanery,"Dearborn, Michigan",1976,"Flushing, Michigan",,120,Nationwide,Beverages,Fast Food
dunkin-donuts,Dunkin' Donuts,"Quincy, Massachusetts",1950,"Canton, Massachusetts",,9244,Nationwide,Beverages,Fast Food
dunn-brothers-coffee,Dunn Brothers Coffee,"Saint Paul, Minnesota",1987,"Minneapolis, Minnesota",,74,Midwest,Beverages,Fast Food
dutch-bros-coffee,Dutch Bros. Coffee,"Grants Pass, Oregon",1992,"Grants Pass, Oregon",,538,West,Beverages,Fast Food
gloria-jeans-coffees,Gloria Jean's Coffees,"Long Grove, Illinois",1979,"Castle Hill, New South Wales, Australia",,1000,Nationwide,Beverages,Fast Food
gregorys-coffee,Gregorys Coffee,"New York, New York",2006,"New York, New York",,31,Northeast,Beverages,Fast Food
heine-brothers,Heine Brothers',"Louisville, Kentucky",1994,"Louisville, Kentucky",,17,Kentucky,Beverages,Fast Food
intelligentsia-coffee-tea,Intelligentsia Coffee & Tea,"Chicago, Illinois",1995,"Chicago, Illinois",,16,Nationwide,Beverages,Fast Food
jamba-juice,Jamba Juice,"San Luis Obispo, California",1990,"Atlanta, Georgia",,757,Nationwide,Beverages,Fast Food
juice-it-up,Juice It Up!,"Brea, California",1995,"Irvine, California",,85,West,Beverages,Fast Food
kung-fu-tea,Kung Fu Tea,"Queens, New York",2010,"New York, New York",,278,Nationwide,Beverages,Fast Food
orange-julius,Orange Julius,"Los Angeles, California",1926,"Edina, Minnesota",,5700,Nationwide,Beverages,Fast Food
peets-coffee,Peet's Coffee,"Berkeley, California",1966,"Emeryville, California",,230,"West, Midwest",Beverages,Fast Food
philz-coffee,Philz Coffee,"San Francisco, California",2002,"San Francisco, California",,57,Nationwide,Beverages,Fast Food
